metric,p50,p75,p90,p95,p99,max
total_ads_last_12m,9.0,35.0,76.0,117.0,248.0,402.0
active_ads_current,0.0,2.0,5.0,8.0,18.0,47.0
avg_ad_lifetime_days,6.3,9.6,13.4,15.5,19.0,29.1
total_deals_last_12m,5.0,23.0,51.0,79.0,170.00999999999476,377.0
deal_success_rate,0.73,0.85,0.94,0.98,0.99,0.99
avg_deal_amount_rub,9798.5,22872.5,136522.50000000015,540338.6500000011,1895147.399999997,16748949.0
total_revenue_last_12m,26011.5,237510.25,1079588.1000000022,3882058.0,34593912.43999989,200000000.0
rating_seller,4.7,4.9,5.0,5.0,5.0,5.0
reviews_count,13.0,48.0,102.0,156.0,331.00999999999476,536.0
response_time_minutes,24.7,42.2,68.6,90.9,156.3,600.0
views_per_ad_avg,527.0,1451.0,2547.0,3417.0,5839.009999999995,25359.0
contacts_per_ad_avg,3.0,6.4,8.9,10.3,12.6,18.6
questions_per_ad_avg,1.4,2.6,4.3,5.5,8.355000000000292,22.0
followers_count,181.0,382.0,748.0,1112.0,2299.0,16419.0
avg_views_per_day,121.0,240.0,439.0,635.0,1272.0,6882.0
