rank,user_id,pro_score,pro_score_raw,user_segment_marketing,user_city,user_region,ad_category_1,ad_category_2,ad_category_3,total_ads_last_12m,avg_ad_lifetime_days,questions_per_ad_avg,rating_seller,reviews_count,response_time_minutes,total_deals_last_12m,deal_success_rate,contacts_per_ad_avg,followers_count,avg_views_per_day,score_total_ads_last_12m,score_avg_ad_lifetime_days,score_questions_per_ad_avg,score_rating_seller,score_reviews_count,score_response_time_minutes,score_total_deals_last_12m,score_deal_success_rate,score_contacts_per_ad_avg
1,f87d024b1e31a3eb,93.51,0.9350589652264667,Постоянный клиент,Новосибирск,Сибирский,Электроника,Смартфоны и телефоны,Apple,367,0.5,8.8,5.0,490,16.2,216,0.91,8.7,266,215,0.9931036231332877,0.987626835060449,0.9847493724804138,0.9109605294381311,0.9931543317867194,0.6993451463790447,0.9898709464770163,0.7756142085646915,0.8028827869475926
2,99da8181cf4901fd,93.51,0.9350589652264667,Постоянный клиент,Новосибирск,Сибирский,Электроника,Смартфоны и телефоны,Apple,367,0.5,8.8,5.0,490,16.2,216,0.91,8.7,266,215,0.9931036231332877,0.987626835060449,0.9847493724804138,0.9109605294381311,0.9931543317867194,0.6993451463790447,0.9898709464770163,0.7756142085646915,0.8028827869475926
3,f34bf578f9141ca2,90.54,0.9053728038361364,Активный,Екатеринбург,Уральский,Электроника,Смартфоны и телефоны,Xiaomi,359,3.4,10.5,5.0,478,11.7,284,0.82,12.3,74,170,0.9926092137623286,0.7395023747841105,0.9948784260033975,0.9109605294381311,0.992533150782181,0.8241800572309047,0.9960954336857585,0.5016733855632464,0.9769022083618569
4,351f39590dd416bc,90.41,0.9040649317140073,Уходящий,Уфа,Приволжский,Недвижимость,Коммерческая,Торговые площади,326,0.5,5.1,5.0,437,10.0,184,0.85,5.3,183,50,0.9905808676250603,0.987626835060449,0.8825967901422378,0.9109605294381311,0.9906569306052078,0.8696483601144618,0.9837605537384955,0.5995664410131589,0.4167237139017773
5,baffd690cbc60a62,89.93,0.8992747885949541,Премиум,Ростов-на-Дону,Южный,Авто,Автомобили,Hyundai,134,0.8,5.2,5.0,177,14.7,93,0.96,8.7,337,29,0.9226185948632134,0.9671982944732297,0.8890114348013488,0.9109605294381311,0.9206409573793768,0.7408375522782302,0.9247230039806293,0.8820770264445628,0.8028827869475926
6,72996841bd326c0b,89.19,0.8918514757086721,Спящий,Новосибирск,Сибирский,Электроника,Смартфоны и телефоны,Xiaomi,159,1.7,6.5,5.0,214,15.2,111,0.93,5.4,161,85,0.9445881189625009,0.9219694516407599,0.9447022134327223,0.9109605294381311,0.9452346542937552,0.7271764252696457,0.9464263076494004,0.8231282168302021,0.4286148931315129
7,b02ed0318daf36ee,89.04,0.8904342615853815,Новичок,Ростов-на-Дону,Южный,Дом и сад,Мебель,Диваны,180,2.0,6.9,5.0,239,18.3,153,0.99,3.6,20,157,0.9574934712608707,0.9005019430051814,0.9555918967571816,0.9109605294381311,0.9568469359296163,0.6447969403477878,0.9737455946857331,0.959344337111128,0.22891153875408837
8,6c3b3180fc784ea7,88.72,0.8872370084667284,Новичок,Пермь,Приволжский,Дети и игрушки,Игрушки,Куклы,349,3.9,5.0,5.0,463,7.0,312,0.86,9.4,51,248,0.9922035445348749,0.6596907383419689,0.876131436829695,0.9109605294381311,0.9921401587180853,0.9409531146819282,0.9979336223726579,0.6318932075758729,0.8580284475545752
9,ea40439e0f1d710a,88.55,0.8855342030004547,Активный,Москва,Центральный,Недвижимость,Квартиры,Новостройка,155,1.2,4.9,5.0,203,17.4,103,0.88,9.4,165,569,0.9418244973504729,0.9504938471502591,0.8691209654927613,0.9109605294381311,0.9394158363124667,0.6679919656614571,0.9374255216652722,0.6937324104358409,0.8580284475545752
10,881e42109f3024d3,88.26,0.8825733043298286,Новичок,Краснодар,Южный,Электроника,Ноутбуки,Dell,167,1.5,5.5,5.0,223,11.3,158,0.82,5.9,15,140,0.9501026850231992,0.9346259715025906,0.9060875738444766,0.9109605294381311,0.9502421338201364,0.8342780101254678,0.9756471691894222,0.5016733855632464,0.4890849623488248
11,c89b92e046362718,87.76,0.8776271530156369,Активный,Воронеж,Центральный,Электроника,Ноутбуки,Dell,184,3.5,5.6,5.0,244,6.2,105,0.99,1.9,78,202,0.9595091402347811,0.7232836787564767,0.9113359194746583,0.9109605294381311,0.9588499277401689,0.9575445740699978,0.9398595370299941,0.959344337111128,0.09997211024061256
12,c9061a8b85b0f6f0,86.88,0.8687534991324787,Уходящий,Москва,Центральный,Одежда и обувь,Обувь,Nike,111,2.2,3.8,5.0,142,8.9,63,0.94,12.8,7,1088,0.890190410993636,0.8837840025906736,0.7657133439821505,0.9109605294381311,0.8809994675591389,0.8961589258199427,0.8535027002357952,0.8447301031921097,0.984026774169012
13,0e763e0e8ff4a5a1,86.75,0.8675150154452486,Постоянный клиент,Нижний Новгород,Приволжский,Дом и сад,Мебель,Кровати,155,2.0,5.9,5.0,208,19.8,83,0.86,6.8,894,3399,0.9418244973504729,0.9005019430051814,0.9252807991683781,0.9109605294381311,0.9423569382115058,0.6058359013867488,0.9078496995512284,0.6318932075758729,0.6002129763444132
14,48c680eaf033a156,86.45,0.8644555343966557,Спящий,Ростов-на-Дону,Южный,Дом и сад,Мебель,Шкафы,361,3.2,5.0,5.0,483,44.7,203,0.99,9.8,1138,119,0.9927613397226237,0.7693221070811744,0.876131436829695,0.9109605294381311,0.9928120483760554,0.22747908870790226,0.987665120052737,0.959344337111128,0.8840293096016836
15,7bc2d1a8fc85c773,86.41,0.8640720274645142,Постоянный клиент,Омск,Сибирский,Дом и сад,Инструменты,Metabo,257,2.7,6.4,5.0,345,69.2,181,0.99,8.0,284,16,0.9821885854821125,0.8323078583765112,0.9414822139398088,0.9109605294381311,0.9824801602393448,0.09888839973585736,0.9828858294667985,0.959344337111128,0.7374305925306154
16,13dd6e77255c73e3,86.41,0.8641416871382651,Новичок,Воронеж,Центральный,Одежда и обувь,Обувь,Adidas,94,2.3,3.8,5.0,123,8.6,75,0.99,10.1,111,143,0.8536928576861641,0.8743388385146805,0.7657133439821505,0.9109605294381311,0.848685378159783,0.9042070217917676,0.8902284424837098,0.959344337111128,0.9012322202783906
