rank,user_id,final_score,behavior_score,style_score,score_professionalism,score_charisma,score_expertise,kw_professional_count,kw_logistics_count,kw_charisma_count,kw_expertise_count,text_word_count,text_digit_count,text_unique_ratio,user_segment_marketing,user_city,user_region,ad_category_1,ad_category_2,ad_category_3,rating_seller,reviews_count,response_time_minutes,comments_per_ad_avg,comment_length_avg,comment_sentiment_avg,questions_per_ad_avg,followers_count,total_ads_last_12m,total_deals_last_12m,deal_success_rate
1,baffd690cbc60a62,86.25,89.93,77.66,0.8130802971527091,0.7023585862427424,0.8022020232752719,5,4,6,1,49,4,0.8367346938775511,Премиум,Ростов-на-Дону,Южный,Авто,Автомобили,Hyundai,5.0,177,14.7,3.2,54.5,0.67,5.2,337,134,93,0.96
2,f87d024b1e31a3eb,86.14,93.51,68.94,0.6994802363023249,0.5965854060495425,0.7686747293425623,4,3,6,1,50,2,0.96,Постоянный клиент,Новосибирск,Сибирский,Электроника,Смартфоны и телефоны,Apple,5.0,490,16.2,2.3,28.4,0.65,8.8,266,367,216,0.91
3,99da8181cf4901fd,86.14,93.51,68.94,0.6994802363023249,0.5965854060495425,0.7686747293425623,4,3,6,1,50,2,0.96,Постоянный клиент,Новосибирск,Сибирский,Электроника,Смартфоны и телефоны,Apple,5.0,490,16.2,2.3,28.4,0.65,8.8,266,367,216,0.91
4,35b4853aab50b239,84.15,85.32,81.43,0.9328693491544332,0.8030564640855962,0.6674279303263101,7,4,4,1,46,0,0.8695652173913043,Новичок,Омск,Сибирский,Хобби и отдых,Коллекционирование,Винил,5.0,137,9.0,11.3,30.4,0.89,5.6,195,104,71,0.86
5,037b1a175fc0a3f1,83.76,84.77,81.41,0.8755660353439314,0.7305107629116908,0.8157114424076469,8,4,4,2,38,0,0.7631578947368421,Новичок,Казань,Приволжский,Услуги,Ремонт,Квартир,5.0,204,24.0,2.6,50.0,0.97,6.7,352,149,108,0.95
6,955fcc920072c400,83.23,86.04,76.69,0.8741614056438732,0.5392465961816384,0.8515478816460029,7,3,2,3,22,3,0.8181818181818182,Новичок,Санкт-Петербург,Северо-Западный,Авто,Запчасти,Hyundai/Kia,5.0,198,17.1,5.6,12.5,1.0,5.3,69,148,67,0.83
7,881e42109f3024d3,83.22,88.26,71.47,0.8989630080373217,0.47892548363378207,0.7049567708729494,6,5,1,1,20,3,0.95,Новичок,Краснодар,Южный,Электроника,Ноутбуки,Dell,5.0,223,11.3,10.5,28.5,0.84,5.5,15,167,158,0.82
8,dea44c3072846bcf,82.33,85.3,75.4,0.7768793894678128,0.6960789533733932,0.7814666210288785,6,1,4,2,48,0,0.9375,Активный,Уфа,Приволжский,Электроника,Смартфоны и телефоны,Huawei,5.0,237,8.2,3.9,60.9,0.75,5.2,158,176,158,0.9
9,3de9c5e2962d0bbb,82.14,85.62,74.03,0.8413047336527979,0.6142472300398062,0.731587054080779,6,3,4,3,22,0,0.9545454545454546,Новичок,Уфа,Приволжский,Авто,Запчасти,Hyundai/Kia,5.0,346,17.4,4.5,25.9,0.73,5.0,54,260,169,0.76
10,95f1ba6401451249,81.8,86.37,71.15,0.7953449456149692,0.5855898684110443,0.7255235668466824,5,4,3,1,40,0,0.95,Новичок,Нижний Новгород,Приволжский,Дети и игрушки,Конструкторы,Star Wars,4.8,263,6.8,3.6,48.9,0.63,5.0,2110,197,86,0.99
