token,high_doc_count,rest_doc_count,high_share,rest_share,lift
подтвержу,68,50,0.0172,0.0014,12.237
подбор,68,50,0.0172,0.0014,12.237
фотофиксация,68,50,0.0172,0.0014,12.237
vin,68,50,0.0172,0.0014,12.237
совместимость,68,50,0.0172,0.0014,12.237
стенде,68,50,0.0172,0.0014,12.237
аккумулятора,79,83,0.02,0.0023,8.564
тестов,79,83,0.02,0.0023,8.564
функций,79,83,0.02,0.0023,8.564
скриншоты,79,83,0.02,0.0023,8.564
приложу,79,83,0.02,0.0023,8.564
бенчмарков,79,83,0.02,0.0023,8.564
работа,79,83,0.02,0.0023,8.564
проверена,79,83,0.02,0.0023,8.564
nokian,263,280,0.0667,0.0079,8.451
hyundai,280,495,0.071,0.0139,5.09
шины,728,1320,0.1845,0.0372,4.962
диски,728,1320,0.1845,0.0372,4.962
приставки,580,1215,0.147,0.0342,4.295
игровые,580,1215,0.147,0.0342,4.295
kia,252,528,0.0639,0.0149,4.294
michelin,159,345,0.0403,0.0097,4.147
bridgestone,148,336,0.0375,0.0095,3.963
continental,158,359,0.0401,0.0101,3.96
дополнительное,115,270,0.0292,0.0076,3.832
