token,high_doc_count,rest_doc_count,high_share,rest_share,lift
нюансы,44,47,0.0111,0.0013,8.419
историю,44,47,0.0111,0.0013,8.419
доп,44,47,0.0111,0.0013,8.419
предмета,44,47,0.0111,0.0013,8.419
серии,44,47,0.0111,0.0013,8.419
гарантия,219,244,0.0555,0.0069,8.071
комплект,219,244,0.0555,0.0069,8.071
дополнительное,135,250,0.0342,0.007,4.856
могу,135,250,0.0342,0.007,4.856
снять,135,250,0.0342,0.007,4.856
пределах,154,289,0.039,0.0081,4.792
разумных,154,289,0.039,0.0081,4.792
проверка,168,360,0.0426,0.0101,4.197
номеру,143,312,0.0362,0.0088,4.122
серийному,143,312,0.0362,0.0088,4.122
подтвержу,37,81,0.0094,0.0023,4.108
подбор,37,81,0.0094,0.0023,4.108
фотофиксация,37,81,0.0094,0.0023,4.108
vin,37,81,0.0094,0.0023,4.108
совместимость,37,81,0.0094,0.0023,4.108
стенде,37,81,0.0094,0.0023,4.108
аккумулятора,50,112,0.0127,0.0032,4.015
тестов,50,112,0.0127,0.0032,4.015
функций,50,112,0.0127,0.0032,4.015
скриншоты,50,112,0.0127,0.0032,4.015
